anchor_num:500
batch_size:64
dataset:four-sin
device:cuda:1
dis_span:256
dropout_rate:0.2
gpu:1
hidden_units:64
inference_only:False
kl_reg:1.0
l2_emb:0.001
layer_num:3
lr:0.001
maxlen:50
num_blocks:2
num_epochs:200
num_heads:1
state_dict_path:None
time_span:256
train_dir:default
valid_epoch:2

Valid epoch:140, time: 563.335146(s), NDCG (@2: 0.1122, @5: 0.1461, @10: 0.1688), Recall (@2: 0.1315, @5: 0.2072, @10: 0.2775)
Test epoch:140, time: 563.335146(s), NDCG (@2: 0.1236, @5: 0.1578, @10: 0.1805), Recall (@2: 0.1391, @5: 0.2152, @10: 0.2859)

Valid epoch:142, time: 571.361943(s), NDCG (@2: 0.1126, @5: 0.1476, @10: 0.1714), Recall (@2: 0.1289, @5: 0.2072, @10: 0.2812)
Test epoch:142, time: 571.361943(s), NDCG (@2: 0.1261, @5: 0.1606, @10: 0.1823), Recall (@2: 0.1425, @5: 0.2195, @10: 0.2870)

Valid epoch:144, time: 579.535463(s), NDCG (@2: 0.1120, @5: 0.1462, @10: 0.1703), Recall (@2: 0.1289, @5: 0.2053, @10: 0.2799)
Test epoch:144, time: 579.535463(s), NDCG (@2: 0.1210, @5: 0.1541, @10: 0.1759), Recall (@2: 0.1373, @5: 0.2115, @10: 0.2786)

Valid epoch:146, time: 587.668621(s), NDCG (@2: 0.1129, @5: 0.1468, @10: 0.1697), Recall (@2: 0.1304, @5: 0.2068, @10: 0.2781)
Test epoch:146, time: 587.668621(s), NDCG (@2: 0.1163, @5: 0.1508, @10: 0.1721), Recall (@2: 0.1326, @5: 0.2091, @10: 0.2751)

Valid epoch:148, time: 595.847457(s), NDCG (@2: 0.1136, @5: 0.1451, @10: 0.1695), Recall (@2: 0.1304, @5: 0.2003, @10: 0.2751)
Test epoch:148, time: 595.847457(s), NDCG (@2: 0.1154, @5: 0.1474, @10: 0.1698), Recall (@2: 0.1302, @5: 0.2012, @10: 0.2702)

Valid epoch:150, time: 604.154944(s), NDCG (@2: 0.1121, @5: 0.1459, @10: 0.1680), Recall (@2: 0.1313, @5: 0.2070, @10: 0.2755)
Test epoch:150, time: 604.154944(s), NDCG (@2: 0.1216, @5: 0.1536, @10: 0.1761), Recall (@2: 0.1378, @5: 0.2091, @10: 0.2790)

Valid epoch:152, time: 612.197487(s), NDCG (@2: 0.1112, @5: 0.1456, @10: 0.1694), Recall (@2: 0.1292, @5: 0.2059, @10: 0.2796)
